Rank,Team,Games,Ground Balls,Per Game
1,Virginia,3,132,44.00
2,Dartmouth,2,81,40.50
3,LIU,3,117,39.00
-,Navy,3,117,39.00
-,Notre Dame,2,78,39.00
6,Colgate,4,154,38.50
7,Ohio St.,5,192,38.40
8,Cornell,1,37,37.00
9,Bucknell,3,108,36.00
10,Mercer,3,105,35.00
-,Michigan,3,105,35.00
-,Utah,3,105,35.00
13,Duke,3,104,34.67
-,Lafayette,3,104,34.67
-,UMass Lowell,3,104,34.67
16,Harvard,2,69,34.50
-,Hobart,2,69,34.50
18,Sacred Heart,3,103,34.33
19,North Carolina,2,68,34.00
-,Siena,2,68,34.00
21,Providence,3,100,33.33
22,High Point,4,133,33.25
-,Syracuse,4,133,33.25
24,Robert Morris,3,99,33.00
25,Boston U.,3,97,32.33
-,Hofstra,3,97,32.33
27,Vermont,2,64,32.00
28,Fairfield,3,94,31.33
29,NJIT,1,31,31.00
-,St. John's (NY),3,93,31.00
31,Delaware,2,61,30.50
-,St. Bonaventure,4,122,30.50
33,Air Force,3,91,30.33
-,Saint Joseph's,3,91,30.33
35,Bellarmine,5,151,30.20
36,Army West Point,3,90,30.00
-,Penn St.,3,90,30.00
38,Cleveland St.,3,89,29.67
-,Richmond,3,89,29.67
40,Jacksonville,3,87,29.00
-,Marist,2,58,29.00
42,Holy Cross,4,115,28.75
-,Rutgers,4,115,28.75
-,VMI,4,115,28.75
45,Drexel,2,57,28.50
46,Massachusetts,3,85,28.33
47,Bryant,2,56,28.00
-,Quinnipiac,2,56,28.00
-,Stony Brook,3,84,28.00
-,Yale,2,56,28.00
51,Manhattan,3,83,27.67
52,UAlbany,2,55,27.50
53,Canisius,3,82,27.33
-,Georgetown,3,82,27.33
55,Binghamton,1,27,27.00
-,Denver,3,81,27.00
-,Villanova,2,54,27.00
-,Wagner,3,81,27.00
59,Johns Hopkins,4,106,26.50
60,Iona,4,104,26.00
-,Lehigh,3,78,26.00
62,Brown,2,51,25.50
63,Loyola Maryland,3,74,24.67
-,Maryland,3,74,24.67
-,Towson,3,74,24.67
66,Mount St. Mary's,4,95,23.75
67,Merrimack,3,71,23.67
68,Monmouth,3,69,23.00
69,Detroit Mercy,2,45,22.50
70,Marquette,3,66,22.00
-,UMBC,1,22,22.00
72,Penn,2,41,20.50
73,Hampton,3,46,15.33
74,Princeton,1,12,12.00
